nazev,delka,sirka,datumdo,vyska,biotop,kodbiotopu,samec,samice,juv,ex
Lasiorhinus latifrons,14.25,48.75,10.6.1969,656,xerotermni tentononc,310,0,0,0,0
Branta canadensis,16.69,49.09,14.10.1905,679,Skalní stepi na vápensových podkladech,215,0,0,1,0
Acrantophis madagascariensis,14.31,51.05,29.5.2002,957,orobincove porosty,405,0,0,3,0
Procyon cancrivorus,15.37,49.77,20.4.2018,1024,suťové lesy,327,0,0,1,0
Giraffe camelopardalis,14.67,48.87,2.9.1914,932,slatiny,217,0,0,5,0
Equus hemionus,12.53,48.49,17.10.1911,834,xerotermni tentononc,310,0,0,2,0
Conolophus subcristatus,17.03,49.35,29.9.1903,823,suťové lesy,327,0,0,0,0
Zenaida asiatica,17.39,49.09,22.7.1922,1017,suťové lesy,327,0,0,0,0
Phoca vitulina,14.39,49.27,20.7.1996,618,nizke křoviny,377,0,0,3,0
Plegadis ridgwayi,13.95,48.73,23.11.2011,715,vřesoviště a meze,400,0,0,2,0
Paroaria gularis,13.17,49.05,18.6.1925,1133,lidska obydli,200,0,0,2,0
Rhabdomys pumilio,15.89,48.67,19.12.1972,681,xerotermni tentononc,310,0,0,3,0
Ursus americanus,14.59,51.11,13.8.1910,1150,doubravy,206,0,0,5,0
Martes pennanti,16.67,48.83,17.7.1958,724,lidska obydli,200,0,0,5,0
Tayassu tajacu,14.65,49.79,14.11.2013,805,Skalní stepi na vápensových podkladech,215,0,0,3,0
Felis libyca,18.05,49.77,23.6.1905,1048,hranice lesa,402,0,0,5,0
Colobus guerza,17.81,49.45,14.9.1965,722,suťové lesy,327,0,0,5,0
Ursus arctos,18.21,50.53,6.3.1926,803,louka,202,0,0,2,0
Thylogale stigmatica,18.75,49.71,8.7.1989,735,skály nižších a středních výšek,308,0,0,0,0
Cacatua tenuirostris,17.43,48.87,24.6.1926,723,hranice lesa,402,0,0,3,0
Gyps fulvus,12.97,49.65,10.5.1948,1194,les,301,0,0,1,0
Streptopelia senegalensis,16.31,50.19,3.7.1929,1195,hranice lesa,402,0,0,3,0
Microcebus murinus,12.65,49.39,12.10.1985,731,doubravy,206,0,0,0,0
Lepus townsendii,18.67,49.29,17.1.1993,1185,bazina,369,0,0,3,0
Chelodina longicollis,12.07,48.61,18.4.1982,830,nizke křoviny,377,0,0,4,0
Ursus americanus,12.13,49.07,20.1.1970,1110,slatiny,217,0,0,1,0
Equus burchelli,16.71,51.17,12.1.2012,997,doubravy,206,0,0,4,0
Coluber constrictor foxii,18.27,48.59,27.10.1984,1164,xerotermni tentononc,310,0,0,5,0
Ratufa indica,16.45,49.81,6.1.2006,1005,nizke křoviny,377,0,0,1,0
Phasianus colchicus,18.73,48.89,29.10.2003,1059,vřesoviště a meze,400,0,0,4,0
Larus novaehollandiae,16.05,51.15,14.10.1977,988,skály nižších a středních výšek,308,0,0,1,0
Varanus komodensis,12.93,48.95,21.12.1902,930,xerotermni tentononc,310,0,0,0,0
Gopherus agassizii,13.61,50.23,17.10.1967,854,orobincove porosty,405,0,0,5,0
Bubulcus ibis,13.37,49.75,25.1.2010,743,xerotermni tentononc,310,0,0,4,0
Geochelone elegans,13.29,50.43,8.7.1905,1187,skály nižších a středních výšek,308,0,0,2,0
Sus scrofa,12.63,49.75,29.7.1950,838,doubravy,206,0,0,0,0
Neotis denhami,16.65,50.71,16.4.1985,851,hranice lesa,402,0,0,5,0
Felis wiedi or Leopardus weidi,15.25,48.99,2.8.1944,836,les,301,0,0,5,0
unavailable,18.23,51.05,22.11.1983,914,mocaly,207,0,0,5,0
Laniaurius atrococcineus,15.47,51.19,10.4.1920,763,mocaly,207,0,0,2,0
Hyaena brunnea,15.53,49.25,1.10.1924,603,mocaly,207,0,0,5,0
Carduelis uropygialis,15.15,49.59,7.6.1932,673,lidska obydli,200,0,0,4,0
Coracias caudata,16.21,51.09,21.9.1970,622,doubravy,206,0,0,5,0
Macropus eugenii,16.91,49.71,25.7.1910,1099,vřesoviště a meze,400,0,0,2,0
Paroaria gularis,15.21,49.79,11.8.1966,765,Skalní stepi na vápensových podkladech,215,0,0,5,0
Cyrtodactylus louisiadensis,15.3,48.8371,30.5.1992,1124,vřesoviště a meze,400,0,0,3,0
Phalacrocorax albiventer,18.59,50.79,28.11.2015,856,suťové lesy,327,0,0,0,0
Otaria flavescens,13.89,49.39,15.1.2013,925,hranice lesa,402,0,0,5,0
Pitangus sulphuratus,12.07,49.11,5.6.1970,870,lidska obydli,200,0,0,3,0
Mabuya spilogaster,15.19,49.85,19.5.1981,987,slatiny,217,0,0,5,0
Alligator mississippiensis,14.85,50.33,13.6.1952,692,mocaly,207,0,0,4,0
Microcavia australis,14.05,48.75,6.5.1988,931,xerotermni tentononc,310,0,0,4,0
Dasypus septemcincus,15.39,50.95,2.3.1940,1190,xerotermni tentononc,310,0,0,1,0
Sagittarius serpentarius,17.13,49.29,6.10.2009,1051,doubravy,206,0,0,2,0
Heloderma horridum,15.07,48.63,25.11.2002,838,skály nižších a středních výšek,308,0,0,3,0
Amphibolurus barbatus,15.65,50.99,18.3.1964,1056,xerotermni tentononc,310,0,0,4,0
Larus fuliginosus,17.53,49.13,16.5.2009,1091,lidska obydli,200,0,0,3,0
Threskionis aethiopicus,13.67,50.15,3.1.1998,923,lidska obydli,200,0,0,0,0
Nesomimus trifasciatus,14.69,49.97,31.8.2013,960,doubravy,206,0,0,1,0
Gyps fulvus,13.77,49.95,29.9.1956,1027,doubravy,206,0,0,1,0
Microcebus murinus,16.11,49.35,10.6.1982,1091,hranice lesa,402,0,0,5,0
Felis wiedi or Leopardus weidi,12.49,49.33,4.9.1967,853,suťové lesy,327,0,0,3,0
Coluber constrictor foxii,14.05,48.59,2.10.1986,691,les,301,0,0,5,0
Pan troglodytes,14.89,48.61,14.2.1950,1199,slatiny,217,0,0,3,0
Coluber constrictor,17.57,49.79,4.7.1930,1157,xerotermni tentononc,310,0,0,1,0
Tockus erythrorhyncus,12.97,50.17,26.8.1978,755,vřesoviště a meze,400,0,0,4,0
Ardea cinerea,14.89,48.45,29.1.1941,856,doubravy,206,0,0,0,0
Perameles nasuta,18.79,48.67,28.2.1994,836,slatiny,217,0,0,0,0
unavailable,13.51,49.95,26.12.1971,942,les,301,0,0,1,0
Tapirus terrestris,14.45,50.13,15.9.1984,1117,nizke křoviny,377,0,0,0,0
Larus dominicanus,14.93,50.81,5.10.1948,1169,skály nižších a středních výšek,308,0,0,3,0
Plegadis ridgwayi,13.27,50.15,20.12.2001,913,bazina,369,0,0,3,0
Felis concolor,15.07,48.89,22.1.1958,641,doubravy,206,0,0,0,0
Sagittarius serpentarius,16.23,48.69,31.3.1903,1124,skály nižších a středních výšek,308,0,0,4,0
Stercorarius longicausus,13.59,50.35,25.2.2009,1072,lidska obydli,200,0,0,0,0
Macropus rufus,15.23,48.61,29.4.1949,857,lidska obydli,200,0,0,4,0
Anas platyrhynchos,14.07,50.79,17.12.2021,978,louka,202,0,0,5,0
Larus fuliginosus,18.11,50.17,7.11.1985,725,nizke křoviny,377,0,0,0,0
Bassariscus astutus,15.89,50.19,7.3.2021,859,mocaly,207,0,0,0,0
Casmerodius albus,15.85,48.73,8.4.1947,812,les,301,0,0,4,0
Tamiasciurus hudsonicus,16.65,48.71,23.2.1900,966,Skalní stepi na vápensových podkladech,215,0,0,5,0
Merops nubicus,15.87,50.33,12.3.1998,1140,les,301,0,0,1,0
Macropus eugenii,13.85,49.45,10.12.1908,701,hranice lesa,402,0,0,2,0
Ardea golieth,17.95,49.83,26.4.1901,1090,orobincove porosty,405,0,0,2,0
Psittacula krameri,13.81,50.29,15.8.1947,742,vřesoviště a meze,400,0,0,0,0
Phoenicopterus ruber,16.19,49.83,11.4.1991,719,les,301,0,0,0,0
unavailable,18.67,49.05,3.7.1983,1032,skály nižších a středních výšek,308,0,0,5,0
Oxybelis sp.,14.49,50.53,14.10.2004,988,doubravy,206,0,0,5,0
Sauromalus obesus,14.91,49.33,20.4.1971,1144,slatiny,217,0,0,4,0
Larus dominicanus,14.81,48.67,23.4.1961,951,hranice lesa,402,0,0,3,0
Dasyurus maculatus,12.45,51.15,5.6.1977,1089,Skalní stepi na vápensových podkladech,215,0,0,5,0
Diceros bicornis,14.51,48.91,31.5.1994,938,suťové lesy,327,0,0,1,0
Microcebus murinus,15.75,49.49,28.1.1902,1083,lidska obydli,200,0,0,3,0
Nesomimus trifasciatus,17.65,49.25,21.2.1908,661,orobincove porosty,405,0,0,2,0
Eudyptula minor,17.49,49.57,27.1.1930,613,louka,202,0,0,2,0
unavailable,14.81,51.13,20.4.1904,1181,vřesoviště a meze,400,0,0,2,0
Cynictis penicillata,12.65,49.01,25.8.1927,1044,orobincove porosty,405,0,0,5,0
Cygnus buccinator,12.93,50.13,27.2.1997,977,xerotermni tentononc,310,0,0,4,0
Gymnorhina tibicen,15.93,49.55,28.3.2008,771,mocaly,207,0,0,4,0
Macaca radiata,14.11,49.29,27.4.1907,753,xerotermni tentononc,310,0,0,3,0
Ephipplorhynchus senegalensis,16.05,48.99,7.3.1909,1143,bazina,369,0,0,0,0
Otaria flavescens,18.07,50.41,6.8.1909,901,doubravy,206,0,0,4,0
Acrantophis madagascariensis,15.07,50.41,17.3.1907,949,suťové lesy,327,0,0,3,0
Choriotis kori,18.05,48.45,8.9.1938,692,lidska obydli,200,0,0,4,0
Eremophila alpestris,12.25,50.53,23.2.2020,680,vřesoviště a meze,400,0,0,4,0
Raphicerus campestris,18.45,50.17,14.1.1990,1121,bazina,369,0,0,5,0
Lamprotornis superbus,13.47,49.33,1.6.2014,1050,slatiny,217,0,0,1,0
Pycnonotus nigricans,16.13,50.71,15.7.2015,1088,vřesoviště a meze,400,0,0,5,0
Crotalus adamanteus,12.41,49.11,5.10.1992,1135,louka,202,0,0,3,0
Macropus agilis,15.83,49.47,11.11.1922,622,hranice lesa,402,0,0,3,0
Phoeniconaias minor,15.87,49.41,16.4.1988,756,mocaly,207,0,0,4,0
Casmerodius albus,15.91,48.49,31.12.1923,1015,doubravy,206,0,0,0,0
Marmota monax,17.09,50.07,28.1.1924,840,bazina,369,0,0,3,0
Varanus salvator,16.27,49.19,14.12.1968,1118,slatiny,217,0,0,0,0
Creagrus furcatus,14.47,50.27,17.11.1933,936,suťové lesy,327,0,0,0,0
Bugeranus caruncalatus,16.01,50.09,3.8.1925,892,les,301,0,0,2,0
Bassariscus astutus,13.59,50.63,18.11.2017,604,slatiny,217,0,0,1,0
Varanus salvator,18.87,49.73,22.12.1999,1139,mocaly,207,0,0,2,0
Potamochoerus porcus,16.09,51.13,20.1.1956,936,louka,202,0,0,3,0
Centrocercus urophasianus,16.21,48.69,13.5.1957,931,vřesoviště a meze,400,0,0,3,0
Parus atricapillus,14.31,48.71,14.9.1992,661,mocaly,207,0,0,0,0
Aegypius occipitalis,14.79,49.97,3.1.1961,1157,slatiny,217,0,0,0,0
Bos taurus,16.13,49.37,5.5.1978,645,suťové lesy,327,0,0,3,0
Francolinus coqui,12.43,49.63,2.11.1915,709,doubravy,206,0,0,1,0
Vulpes vulpes,16.93,48.57,8.8.1930,742,suťové lesy,327,0,0,5,0
Nyctanassa violacea,13.83,50.15,28.11.1959,699,lidska obydli,200,0,0,0,0
Junonia genoveua,15.43,50.53,15.11.1929,857,suťové lesy,327,0,0,3,0
Madoqua kirkii,14.15,49.81,29.1.2007,1087,mocaly,207,0,0,2,0
unavailable,13.75,48.73,20.3.1916,795,slatiny,217,0,0,2,0
Bubo virginianus,14.07,48.99,12.9.2021,1004,xerotermni tentononc,310,0,0,3,0
Suricata suricatta,15.27,49.55,29.3.1925,1021,xerotermni tentononc,310,0,0,1,0
Naja nivea,16.43,50.53,26.3.1929,849,les,301,0,0,2,0
Mellivora capensis,13.03,50.99,20.1.1916,708,nizke křoviny,377,0,0,3,0
Podargus strigoides,13.63,49.81,16.12.2001,1093,Skalní stepi na vápensových podkladech,215,0,0,1,0
Microcebus murinus,12.91,49.39,15.2.1917,703,mocaly,207,0,0,4,0
Corvus brachyrhynchos,18.41,50.49,30.11.1977,1167,lidska obydli,200,0,0,1,0
Prionace glauca,18.85,49.21,30.10.2008,1006,lidska obydli,200,0,0,0,0
Cercopithecus aethiops,17.53,50.81,5.5.1923,991,louka,202,0,0,0,0
Orcinus orca,12.99,48.69,12.9.1922,1031,vřesoviště a meze,400,0,0,4,0
Macropus agilis,18.63,50.31,1.6.1974,899,mocaly,207,0,0,0,0
Butorides striatus,12.49,48.55,8.8.1979,926,skály nižších a středních výšek,308,0,0,2,0
Thalasseus maximus,15.57,48.57,28.6.1930,753,Skalní stepi na vápensových podkladech,215,0,0,0,0
Porphyrio porphyrio,17.17,49.19,2.8.2002,1095,slatiny,217,0,0,1,0
Milvago chimachima,16.05,48.47,23.4.1922,952,les,301,0,0,1,0
Hystrix indica,13.15,48.91,14.9.1918,657,orobincove porosty,405,0,0,2,0
Corvus brachyrhynchos,18.33,51.11,4.6.1937,651,bazina,369,0,0,2,0
Equus burchelli,16.85,48.47,23.6.1927,637,les,301,0,0,2,0
Rhea americana,16.05,50.47,1.4.1907,642,louka,202,0,0,0,0
Macaca fuscata,14.09,48.73,23.7.1918,625,suťové lesy,327,0,0,0,0
Manouria emys,17.43,50.95,21.5.1975,620,suťové lesy,327,0,0,2,0
Axis axis,15.97,50.59,9.9.1996,1127,vřesoviště a meze,400,0,0,3,0
Paraxerus cepapi,12.93,49.27,8.5.1936,649,lidska obydli,200,0,0,3,0
Felis concolor,17.13,50.99,21.11.2005,894,xerotermni tentononc,310,0,0,5,0
Semnopithecus entellus,18.95,50.57,6.1.1915,631,louka,202,0,0,5,0
Diomedea irrorata,18.19,49.45,20.11.1975,808,louka,202,0,0,1,0
Herpestes javanicus,16.03,49.11,25.3.1950,1068,suťové lesy,327,0,0,4,0
Fregata magnificans,18.15,50.85,29.9.1954,857,vřesoviště a meze,400,0,0,4,0
Connochaetus taurinus,15.87,48.59,12.2.2001,667,doubravy,206,0,0,0,0
Helogale undulata,18.09,49.03,4.1.1930,824,doubravy,206,0,0,5,0
Camelus dromedarius,14.01,50.27,18.5.1940,1066,nizke křoviny,377,0,0,2,0
Marmota flaviventris,13.69,50.17,30.11.2013,692,hranice lesa,402,0,0,0,0
Eolophus roseicapillus,13.31,48.77,28.1.1978,872,skály nižších a středních výšek,308,0,0,4,0
Phalacrocorax niger,18.03,49.35,21.10.1919,657,lidska obydli,200,0,0,2,0
Threskionis aethiopicus,15.05,50.59,6.1.1974,626,Skalní stepi na vápensových podkladech,215,0,0,2,0
Gekko gecko,12.01,49.47,19.6.1989,616,slatiny,217,0,0,1,0
Cebus albifrons,13.45,48.71,2.3.1977,872,nizke křoviny,377,0,0,4,0
Uraeginthus angolensis,12.13,49.07,21.3.1981,847,nizke křoviny,377,0,0,4,0
Phoenicopterus chilensis,12.17,50.45,12.6.2000,959,hranice lesa,402,0,0,5,0
Macropus giganteus,16.63,50.77,4.12.2003,776,Skalní stepi na vápensových podkladech,215,0,0,0,0
Laniarius ferrugineus,14.71,50.05,3.3.1926,1074,hranice lesa,402,0,0,4,0
Macropus agilis,18.23,51.09,5.11.1968,933,mocaly,207,0,0,5,0
Castor canadensis,14.79,50.49,28.5.1964,1110,bazina,369,0,0,1,0
Cyrtodactylus louisiadensis,13.63,49.51,18.8.1985,870,orobincove porosty,405,0,0,0,0
Phasianus colchicus,13.87,50.03,15.8.1990,915,vřesoviště a meze,400,0,0,2,0
Pseudocheirus peregrinus,17.67,50.17,24.7.1919,854,louka,202,0,0,4,0
Sitta canadensis,16.43,50.37,9.10.1968,626,suťové lesy,327,0,0,3,0
Neotoma sp.,15.89,48.73,29.1.2003,702,les,301,0,0,3,0
Echimys chrysurus,15.49,48.65,26.7.1920,938,slatiny,217,0,0,2,0
Ovis canadensis,14.15,49.93,26.10.1978,949,lidska obydli,200,0,0,1,0
Mungos mungo,13.83,49.47,27.3.1980,1162,xerotermni tentononc,310,0,0,5,0
Geochelone elephantopus,17.85,49.73,15.12.1914,699,les,301,0,0,0,0
Upupa epops,18.87,50.01,29.4.1940,982,doubravy,206,0,0,4,0
Butorides striatus,14.15,50.95,22.3.2019,636,les,301,0,0,5,0
Pterocles gutturalis,17.69,49.75,29.5.1946,832,doubravy,206,0,0,5,0
Vanellus sp.,17.79,50.07,4.3.1978,874,skály nižších a středních výšek,308,0,0,3,0
Tayassu pecari,17.11,49.53,11.2.1988,603,lidska obydli,200,0,0,5,0
Anas bahamensis,15.83,49.27,12.11.1997,878,doubravy,206,0,0,5,0
Cynomys ludovicianus,17.45,49.89,5.12.1900,792,nizke křoviny,377,0,0,3,0
Callorhinus ursinus,14.05,48.87,5.10.1934,1054,lidska obydli,200,0,0,1,0
Zosterops pallidus,14.17,50.59,16.11.1978,1129,skály nižších a středních výšek,308,0,0,3,0
Sitta canadensis,16.13,49.49,1.6.1914,678,mocaly,207,0,0,5,0
Felis concolor,13.93,50.43,2.6.1968,1042,louka,202,0,0,2,0
Neotis denhami,17.27,50.51,27.7.1980,676,slatiny,217,0,0,0,0
Choloepus hoffmani,17.21,49.37,12.8.1940,1162,nizke křoviny,377,0,0,3,0
Cervus unicolor,18.45,49.99,23.9.1946,641,vřesoviště a meze,400,0,0,1,0
Pelecanus conspicillatus,18.77,50.59,16.4.1904,821,skály nižších a středních výšek,308,0,0,3,0
Pteronura brasiliensis,12.95,50.51,8.1.1967,947,lidska obydli,200,0,0,4,0
Chelodina longicollis,17.87,49.39,15.1.1905,1194,bazina,369,0,0,2,0
Gorilla gorilla,12.87,51.15,1.7.1957,736,slatiny,217,0,0,3,0
Pterocles gutturalis,14.89,50.67,18.11.1936,813,mocaly,207,0,0,1,0
Alcelaphus buselaphus caama,13.45,49.07,10.11.1987,844,orobincove porosty,405,0,0,1,0
Corvus brachyrhynchos,15.71,49.69,16.4.1936,738,mocaly,207,0,0,3,0
Merops nubicus,14.41,50.57,13.6.1944,1007,xerotermni tentononc,310,0,0,0,0
Delphinus delphis,12.83,50.17,3.2.1938,991,skály nižších a středních výšek,308,0,0,1,0
Butorides striatus,15.27,50.11,4.4.1964,758,bazina,369,0,0,1,0
Papio cynocephalus,18.63,49.05,14.9.1963,1194,bazina,369,0,0,4,0
Epicrates cenchria maurus,12.37,50.21,17.3.1967,655,les,301,0,0,0,0
Didelphis virginiana,16.59,48.71,16.11.1915,1077,lidska obydli,200,0,0,4,0
Ninox superciliaris,14.95,48.67,11.9.1999,806,louka,202,0,0,3,0
Columba palumbus,13.09,50.77,8.3.1971,1103,hranice lesa,402,0,0,4,0
Bison bison,18.23,50.07,17.4.1913,927,doubravy,206,0,0,4,0
Ceryle rudis,13.29,49.81,10.8.1937,925,lidska obydli,200,0,0,4,0
Ciconia episcopus,14.95,49.79,21.2.1945,686,Skalní stepi na vápensových podkladech,215,0,0,3,0
Acrantophis madagascariensis,16.53,50.07,5.1.1946,1032,hranice lesa,402,0,0,4,0
Columba livia,14.79,48.43,1.3.1965,640,hranice lesa,402,0,0,2,0
Falco peregrinus,17.51,49.01,19.6.1930,787,mocaly,207,0,0,4,0
Priodontes maximus,15.21,49.59,11.6.1929,1116,suťové lesy,327,0,0,0,0
Platalea leucordia,15.69,50.15,4.11.1943,649,doubravy,206,0,0,1,0
Choriotis kori,17.95,48.51,19.10.1911,629,nizke křoviny,377,0,0,1,0
Larus dominicanus,16.11,48.61,23.9.1920,662,slatiny,217,0,0,5,0
Canis mesomelas,15.55,50.69,14.5.2013,1142,hranice lesa,402,0,0,4,0
Ephipplorhynchus senegalensis,16.89,50.03,28.10.2021,1014,suťové lesy,327,0,0,5,0
Laniarius ferrugineus,18.43,51.09,19.8.1973,751,louka,202,0,0,0,0
Bubalus arnee,14.63,49.89,26.5.1979,819,louka,202,0,0,3,0
unavailable,17.09,50.81,19.3.1907,730,lidska obydli,200,0,0,5,0
Panthera onca,13.57,49.01,29.3.1905,741,nizke křoviny,377,0,0,5,0
Mabuya spilogaster,14.61,50.17,12.5.1929,644,bazina,369,0,0,4,0
Cynomys ludovicianus,18.25,49.39,4.12.1953,959,skály nižších a středních výšek,308,0,0,5,0
Haliaeetus leucocephalus,17.05,48.77,14.1.1969,827,louka,202,0,0,2,0
Seiurus aurocapillus,12.21,49.89,20.5.1987,701,lidska obydli,200,0,0,2,0
Phalacrocorax brasilianus,17.75,49.59,31.12.1935,906,bazina,369,0,0,4,0
Chordeiles minor,16.31,48.83,20.12.1999,858,nizke křoviny,377,0,0,0,0
Corvus brachyrhynchos,12.11,49.75,23.9.1977,712,Skalní stepi na vápensových podkladech,215,0,0,4,0
unavailable,15.99,50.61,5.3.1980,1033,doubravy,206,0,0,5,0
Butorides striatus,18.57,48.71,14.3.1971,1000,louka,202,0,0,4,0
unavailable,16.95,48.81,19.7.1978,767,slatiny,217,0,0,3,0
Sarcophilus harrisii,14.71,49.49,27.3.1972,1106,xerotermni tentononc,310,0,0,4,0
Chordeiles minor,12.97,50.41,28.6.2016,1004,skály nižších a středních výšek,308,0,0,0,0
Stercorarius longicausus,17.33,51.21,17.12.1917,899,bazina,369,0,0,0,0
Himantopus himantopus,15.49,49.75,8.5.2011,946,skály nižších a středních výšek,308,0,0,1,0
Physignathus cocincinus,15.11,49.11,28.5.1913,984,Skalní stepi na vápensových podkladech,215,0,0,4,0
Larus dominicanus,14.69,49.69,26.1.1953,1200,les,301,0,0,0,0
Equus hemionus,14.63,50.91,3.10.1929,692,bazina,369,0,0,2,0
Bison bison,12.59,50.77,28.5.1958,920,suťové lesy,327,0,0,1,0
Speothos vanaticus,13.97,50.37,4.2.1942,1187,Skalní stepi na vápensových podkladech,215,0,0,1,0
Pytilia melba,16.47,51.05,11.5.1929,1142,lidska obydli,200,0,0,3,0
Vulpes vulpes,16.41,49.05,8.8.1974,1130,Skalní stepi na vápensových podkladech,215,0,0,2,0
Oryx gazella callotis,13.13,50.33,24.6.1933,1172,orobincove porosty,405,0,0,4,0
Felis libyca,13.93,51.05,7.9.1962,701,bazina,369,0,0,5,0
Herpestes javanicus,12.29,49.81,8.12.1943,1029,orobincove porosty,405,0,0,2,0
Casmerodius albus,14.25,50.73,27.12.1932,1163,skály nižších a středních výšek,308,0,0,3,0
Macropus agilis,14.87,48.69,18.1.1980,1062,lidska obydli,200,0,0,1,0
Terrapene carolina,17.69,50.99,21.7.1911,603,vřesoviště a meze,400,0,0,2,0
Crocodylus niloticus,15.51,48.89,18.4.1994,767,vřesoviště a meze,400,0,0,4,0
Thylogale stigmatica,18.11,49.55,26.2.2006,975,Skalní stepi na vápensových podkladech,215,0,0,4,0
Pseudocheirus peregrinus,13.93,48.45,25.5.2014,863,mocaly,207,0,0,3,0
Pan troglodytes,12.33,50.95,21.7.1944,1168,doubravy,206,0,0,3,0
Ceratotherium simum,15.27,49.87,16.8.1986,1176,xerotermni tentononc,310,0,0,5,0
Dendrocygna viduata,15.33,48.97,20.5.1978,1191,orobincove porosty,405,0,0,2,0
Alcelaphus buselaphus cokii,18.33,49.51,23.4.2003,616,les,301,0,0,3,0
Hyaena hyaena,12.97,50.65,27.5.1960,747,suťové lesy,327,0,0,5,0
Damaliscus dorcas,16.15,51.13,2.7.2014,833,mocaly,207,0,0,1,0
Butorides striatus,18.27,49.63,1.9.2020,959,xerotermni tentononc,310,0,0,5,0
Anastomus oscitans,17.77,48.55,9.4.1978,907,xerotermni tentononc,310,0,0,5,0
unavailable,14.81,50.17,4.6.1900,736,lidska obydli,200,0,0,0,0
Alcelaphus buselaphus cokii,16.41,51.13,11.12.1990,774,nizke křoviny,377,0,0,2,0
Crotalus adamanteus,15.89,48.83,28.1.1935,970,slatiny,217,0,0,1,0
Laniaurius atrococcineus,12.41,49.55,6.6.1987,694,louka,202,0,0,0,0
Pteropus rufus,12.37,50.81,26.6.1973,610,slatiny,217,0,0,2,0
Melophus lathami,18.87,51.07,23.4.2019,695,Skalní stepi na vápensových podkladech,215,0,0,0,0
Axis axis,12.39,49.49,20.2.2010,1027,orobincove porosty,405,0,0,5,0
Haliaetus leucogaster,13.55,49.45,13.1.2015,839,doubravy,206,0,0,2,0
Nyctanassa violacea,16.35,49.39,11.7.2003,1169,orobincove porosty,405,0,0,0,0
Spheniscus magellanicus,16.49,48.89,15.10.2020,746,suťové lesy,327,0,0,3,0
Macropus agilis,12.37,49.23,2.9.1979,835,slatiny,217,0,0,3,0
Damaliscus dorcas,16.57,49.85,26.3.1929,1172,mocaly,207,0,0,5,0
Lybius torquatus,16.37,48.43,30.9.1957,1033,vřesoviště a meze,400,0,0,0,0
Vulpes chama,17.93,49.45,21.1.1967,765,xerotermni tentononc,310,0,0,3,0
Fulica cristata,13.01,48.99,23.9.2003,826,lidska obydli,200,0,0,3,0
Odocoileus hemionus,17.87,50.05,23.5.1943,836,Skalní stepi na vápensových podkladech,215,0,0,2,0
Macropus agilis,15.55,48.51,13.5.1931,1116,bazina,369,0,0,0,0
Callorhinus ursinus,15.55,50.29,28.12.1932,957,louka,202,0,0,0,0
Hippotragus niger,18.19,48.85,31.7.1955,807,bazina,369,0,0,2,0
Dicrostonyx groenlandicus,16.69,49.73,2.7.1912,879,skály nižších a středních výšek,308,0,0,0,0
unavailable,16.27,50.09,1.12.1929,842,suťové lesy,327,0,0,4,0
Semnopithecus entellus,12.73,48.93,11.12.1901,1127,mocaly,207,0,0,4,0
Tachyglossus aculeatus,13.43,49.21,16.3.1933,762,les,301,0,0,5,0
Plectopterus gambensis,17.91,48.85,22.5.1969,827,bazina,369,0,0,1,0
Macaca mulatta,12.29,50.83,26.1.2012,860,Skalní stepi na vápensových podkladech,215,0,0,4,0
Coluber constrictor,14.49,48.59,21.6.2015,970,les,301,0,0,0,0
Oncorhynchus nerka,16.99,49.29,10.12.1970,979,lidska obydli,200,0,0,4,0
Pan troglodytes,17.19,49.21,3.4.1912,1160,suťové lesy,327,0,0,4,0
Tetracerus quadricornis,15.99,50.99,16.12.1949,894,louka,202,0,0,5,0
Bucorvus leadbeateri,12.53,50.61,13.6.1936,1102,slatiny,217,0,0,2,0
Odocoileus hemionus,12.51,50.09,26.2.2008,1118,slatiny,217,0,0,0,0
Centrocercus urophasianus,13.85,49.39,19.12.1992,1077,skály nižších a středních výšek,308,0,0,2,0
Butorides striatus,18.63,49.35,22.1.2010,1045,les,301,0,0,1,0
Naja haje,13.35,50.29,29.7.1901,1052,mocaly,207,0,0,3,0
Castor fiber,18.73,49.51,27.7.1971,885,slatiny,217,0,0,2,0
Sus scrofa,12.45,49.99,1.5.1952,610,vřesoviště a meze,400,0,0,1,0
Zalophus californicus,12.65,51.09,14.12.1969,1058,Skalní stepi na vápensových podkladech,215,0,0,4,0
Canis mesomelas,17.35,50.67,17.6.1985,714,hranice lesa,402,0,0,5,0
Felis chaus,17.89,48.97,4.9.1950,1046,les,301,0,0,4,0
Macropus agilis,14.05,50.55,29.9.1918,1194,vřesoviště a meze,400,0,0,4,0
Ornithorhynchus anatinus,15.77,50.27,29.9.1921,1082,xerotermni tentononc,310,0,0,3,0
Bettongia penicillata,14.35,50.77,4.9.1940,1083,hranice lesa,402,0,0,4,0
Paraxerus cepapi,13.97,48.81,30.6.1957,858,lidska obydli,200,0,0,3,0
Porphyrio porphyrio,12.15,48.53,23.12.1940,645,louka,202,0,0,2,0
Cervus elaphus,14.01,50.49,16.5.1978,947,mocaly,207,0,0,4,0
Aquila chrysaetos,15.75,48.85,30.7.1915,727,xerotermni tentononc,310,0,0,4,0
Bassariscus astutus,17.85,49.75,13.9.1965,649,orobincove porosty,405,0,0,1,0
Oreamnos americanus,14.91,50.69,17.11.2016,1048,xerotermni tentononc,310,0,0,2,0
Heloderma horridum,12.79,50.27,19.1.1907,1066,bazina,369,0,0,2,0
Gyps bengalensis,18.37,50.81,19.7.1985,608,hranice lesa,402,0,0,4,0
